,Unnamed: 0,frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,scaled-sound-pressure
487,487,1000,0,,39.6,0.00193287,130.033
1299,1299,2500,3.3,,71.3,0.00202822,133.894
517,517,2500,2.7,,71.3,0.00243851,128.334
1006,1006,16000,0,,31.7,0.000439472,125.627
1086,1086,630,9.5,,39.6,0.00449821,126.514
1160,1160,4000,17.4,,71.3,0.016104,125.586
121,121,3150,3,,55.5,0.00452492,120.189
1442,1442,250,12.3,,39.6,0.0408268,129.675
1064,1064,3150,9.5,,71.3,0.00420654,136.166
795,795,6300,4.2,,39.6,0.00152689,125.717
626,626,6300,7.2,,39.6,0.00909175,112.688
530,530,1250,2.7,,39.6,0.00294804,130.829
272,272,400,2,,39.6,0.00346574,122.147
409,409,400,7.3,,55.5,0.0111706,135.924
395,395,630,7.3,,71.3,0.0104404,133.768
1247,1247,3150,0,,71.3,0.00121072,131.955
867,867,3150,11.2,,39.6,0.0150478,119.67
1295,1295,1000,3.3,,71.3,0.00202822,131.434
1359,1359,2500,6.7,,55.5,0.0052139,124.273
812,812,1250,8.4,,55.5,0.00544854,132.252
556,556,630,5.4,,55.5,0.00433288,131.807
896,896,2000,15.4,,55.5,0.0271925,127.04
1192,1192,3150,17.4,,39.6,0.0172206,123.564
1033,1033,1000,4.8,,39.6,0.000907475,122.956
1317,1317,8000,3.3,,55.5,0.002211,120.569
1294,1294,800,3.3,,71.3,0.00202822,131.074
557,557,800,5.4,,55.5,0.00433288,133.097
497,497,10000,0,,39.6,0.00193287,115.413
962,962,2500,0,,71.3,0.000400682,133.707
1500,1500,4000,15.6,,39.6,0.0528487,106.604
337,337,1600,4,,39.6,0.00473801,125.319
1302,1302,5000,3.3,,71.3,0.00202822,127.054
1423,1423,5000,12.3,,71.3,0.0337792,116.108
122,122,4000,3,,55.5,0.00452492,118.689
1476,1476,400,15.6,,71.3,0.0437259,134.058
87,87,1600,1.5,,39.6,0.00392107,122.211
126,126,10000,3,,55.5,0.00452492,112.169
891,891,630,15.4,,55.5,0.0271925,129.33
1055,1055,6300,4.8,,31.7,0.000930789,132.898
1219,1219,2500,22.2,,71.3,0.0214178,126.097
161,161,800,4,,71.3,0.00497773,131.755
1165,1165,250,17.4,,55.5,0.0165706,110.491
843,843,315,11.2,,71.3,0.014072,128.381
1110,1110,4000,9.5,,31.7,0.00461377,126.736
634,634,630,9.9,,71.3,0.0193001,129.889
263,263,1250,2,,55.5,0.00313525,128.762
69,69,1600,1.5,,71.3,0.00336729,126.632
745,745,4000,0,,55.5,0.00076193,134.946
976,976,5000,0,,55.5,0.00041229,135.803
180,180,1000,4,,39.6,0.00579636,128.723
1445,1445,500,12.3,,39.6,0.0408268,122.205
1040,1040,5000,4.8,,39.6,0.000907475,135.426
585,585,630,5.4,,31.7,0.00525474,131.471
845,845,500,11.2,,71.3,0.014072,130.311
1278,1278,6300,0,,39.6,0.00146332,125.631
1309,1309,1250,3.3,,55.5,0.002211,132.769
401,401,2500,7.3,,71.3,0.0104404,122.088
1050,1050,2000,4.8,,31.7,0.000930789,130.148
890,890,500,15.4,,55.5,0.0271925,127.22
1111,1111,5000,9.5,,31.7,0.00461377,124.426
1045,1045,630,4.8,,31.7,0.000930789,120.078
386,386,3150,5.3,,39.6,0.00614329,118.441
522,522,8000,2.7,,71.3,0.00243851,120.534
1468,1468,2500,12.3,,31.7,0.0418756,110.317
1222,1222,5000,22.2,,71.3,0.0214178,125.727
565,565,5000,5.4,,55.5,0.00433288,118.757
1104,1104,1000,9.5,,31.7,0.00461377,131.346
1352,1352,500,6.7,,55.5,0.0052139,129.343
1426,1426,250,12.3,,55.5,0.0368233,133.294
217,217,500,0,,39.6,0.00253511,126.195
1367,1367,2000,6.7,,39.6,0.00578076,122.235
456,456,1250,0,,71.3,0.0015988,128.927
231,231,500,0,,31.7,0.0027238,126.675
599,599,630,7.2,,71.3,0.00752039,134.853
1184,1184,500,17.4,,39.6,0.0172206,117.514
974,974,3150,0,,55.5,0.00041229,130.503
156,156,250,4,,71.3,0.00497773,126.395
791,791,2500,4.2,,39.6,0.00152689,133.847
1339,1339,3150,3.3,,31.7,0.00251435,128.252
1246,1246,2500,0,,71.3,0.00121072,132.595
243,243,400,2,,71.3,0.00293031,125.116
707,707,5000,12.6,,71.3,0.0483159,108.034
1037,1037,2500,4.8,,39.6,0.000907475,131.236
1249,1249,5000,0,,71.3,0.00121072,130.795
823,823,1000,8.4,,39.6,0.00566229,130.195
608,608,5000,7.2,,71.3,0.00752039,118.343
727,727,1250,0,,71.3,0.000740478,128.56
766,766,1250,0,,31.7,0.000812164,129.27
89,89,2500,1.5,,39.6,0.00392107,120.981
1366,1366,1600,6.7,,39.6,0.00578076,127.375
293,293,2000,2,,31.7,0.00372371,123.037
1254,1254,630,0,,55.5,0.00131983,126.17
1042,1042,8000,4.8,,39.6,0.000907475,131.346
1209,1209,5000,17.4,,31.7,0.0176631,117.996
649,649,500,9.9,,55.5,0.0208438,127.815
1146,1146,10000,12.7,,39.6,0.0130253,116.017
1226,1226,250,22.2,,39.6,0.0229028,117.386
184,184,2500,4,,39.6,0.00579636,120.233
484,484,500,0,,39.6,0.00193287,119.513
1068,1068,400,9.5,,55.5,0.0043284,120.952
9,9,6300,0,,71.3,0.00266337,119.541
846,846,630,11.2,,71.3,0.014072,133.611
525,525,16000,2.7,,71.3,0.00243851,110.364
1381,1381,500,8.9,,71.3,0.0103088,138.523
947,947,4000,19.7,,71.3,0.0341183,113.045
252,252,3150,2,,71.3,0.00293031,126.116
1020,1020,2500,4.8,,55.5,0.000873218,129.144
1071,1071,800,9.5,,55.5,0.0043284,128.082
458,458,2000,0,,71.3,0.0015988,128.647
624,624,4000,7.2,,39.6,0.00909175,114.258
442,442,500,7.3,,31.7,0.0132672,128.169
904,904,315,15.4,,39.6,0.0282593,124.493
694,694,250,12.6,,71.3,0.0483159,129.744
30,30,250,0,,39.6,0.00310138,119.319
167,167,3150,4,,71.3,0.00497773,121.775
1170,1170,800,17.4,,55.5,0.0165706,123.091
83,83,630,1.5,,39.6,0.00392107,128.311
22,22,3150,0,,55.5,0.00283081,123.236
1390,1390,4000,8.9,,71.3,0.0103088,120.243
468,468,500,0,,55.5,0.00172668,120.573
183,183,2000,4,,39.6,0.00579636,120.963
1280,1280,10000,0,,39.6,0.00146332,119.561
420,420,5000,7.3,,55.5,0.0111706,113.144
1098,1098,250,9.5,,31.7,0.00461377,120.136
1168,1168,500,17.4,,55.5,0.0165706,119.621
678,678,250,9.9,,31.7,0.0252785,128.559
713,713,500,12.6,,39.6,0.0584113,114.9
606,606,3150,7.2,,71.3,0.00752039,116.783
698,698,630,12.6,,71.3,0.0483159,123.304
1470,1470,4000,12.3,,31.7,0.0418756,108.407
1332,1332,630,3.3,,31.7,0.00251435,128.952
1310,1310,1600,3.3,,55.5,0.002211,133.649
800,800,1250,8.4,,71.3,0.00529514,132.086
1210,1210,315,22.2,,71.3,0.0214178,115.857
650,650,630,9.9,,55.5,0.0208438,127.315
1134,1134,630,12.7,,39.6,0.0130253,128.867
1102,1102,630,9.5,,31.7,0.00461377,129.006
1057,1057,630,9.5,,71.3,0.00420654,125.726
627,627,8000,7.2,,39.6,0.00909175,111.588
1130,1130,250,12.7,,39.6,0.0130253,121.547
1137,1137,1250,12.7,,39.6,0.0130253,130.777
255,255,6300,2,,71.3,0.00293031,120.786
191,191,2500,0,,71.3,0.00214345,128.354
111,111,10000,3,,71.3,0.00425727,110.224
437,437,6300,7.3,,39.6,0.0123481,110.839
26,26,8000,0,,55.5,0.00283081,116.476
862,862,1000,11.2,,39.6,0.0150478,132.43
609,609,6300,7.2,,71.3,0.00752039,116.603
646,646,250,9.9,,55.5,0.0208438,133.235
616,616,630,7.2,,39.6,0.00909175,133.198
918,918,200,15.4,,31.7,0.0289853,119.975
799,799,1000,8.4,,71.3,0.00529514,129.946
1385,1385,1250,8.9,,71.3,0.0103088,132.793
829,829,4000,8.4,,39.6,0.00566229,118.955
25,25,6300,0,,55.5,0.00283081,117.976
1122,1122,2000,12.7,,71.3,0.0121808,134.228
977,977,6300,0,,55.5,0.00041229,136.103
1471,1471,5000,12.3,,31.7,0.0418756,107.147
1075,1075,2000,9.5,,55.5,0.0043284,134.052
327,327,5000,4,,55.5,0.0042862,120.034
966,966,6300,0,,71.3,0.000400682,134.987
542,542,500,5.4,,71.3,0.00401199,126.291
1333,1333,800,3.3,,31.7,0.00251435,131.362
250,250,2000,2,,71.3,0.00293031,126.896
1263,1263,5000,0,,55.5,0.00131983,128.36
452,452,5000,7.3,,31.7,0.0132672,111.029
613,613,315,7.2,,39.6,0.00909175,130.558
625,625,5000,7.2,,39.6,0.00909175,113.288
1308,1308,1000,3.3,,55.5,0.002211,131.129
1253,1253,12500,0,,71.3,0.00121072,119.375
1220,1220,3150,22.2,,71.3,0.0214178,124.127
241,241,5000,0,,31.7,0.0027238,120.505
407,407,250,7.3,,55.5,0.0111706,136.384
693,693,200,12.6,,71.3,0.0483159,128.354
681,681,500,9.9,,31.7,0.0252785,127.179
1456,1456,6300,12.3,,39.6,0.0408268,107.985
740,740,1250,0,,55.5,0.00076193,127.076
972,972,2000,0,,55.5,0.00041229,127.623
1204,1204,1600,17.4,,31.7,0.0176631,126.846
1304,1304,8000,3.3,,71.3,0.00202822,121.234
201,201,315,0,,55.5,0.00229336,119.54
511,511,630,2.7,,71.3,0.00243851,127.404
910,910,1250,15.4,,39.6,0.0282593,126.743
738,738,800,0,,55.5,0.00076193,124.336
336,336,1250,4,,39.6,0.00473801,128.339
431,431,1600,7.3,,39.6,0.0123481,121.059
230,230,400,0,,31.7,0.0027238,123.635
365,365,1250,5.3,,71.3,0.0051942,133.38
610,610,8000,7.2,,71.3,0.00752039,113.333
283,283,5000,2,,39.6,0.00346574,118.827
770,770,3150,0,,31.7,0.000812164,135.49
62,62,5000,0,,31.7,0.00331266,115.645
446,446,1250,7.3,,31.7,0.0132672,120.509
954,954,800,19.7,,39.6,0.036484,119.174
423,423,250,7.3,,39.6,0.0123481,131.889
737,737,12500,0,,71.3,0.000740478,125.22
641,641,3150,9.9,,71.3,0.0193001,116.849
333,333,630,4,,39.6,0.00473801,129.579
33,33,500,0,,39.6,0.00310138,126.959
32,32,400,0,,39.6,0.00310138,124.809
844,844,400,11.2,,71.3,0.014072,129.281
1140,1140,2500,12.7,,39.6,0.0130253,129.027
7,7,4000,0,,71.3,0.00266337,123.061
901,901,6300,15.4,,55.5,0.0271925,112.93
204,204,630,0,,55.5,0.00229336,126.16
1080,1080,6300,9.5,,55.5,0.0043284,124.222
99,99,630,3,,71.3,0.00425727,129.354
1344,1344,630,6.7,,71.3,0.00478288,131.448
1474,1474,250,15.6,,71.3,0.0437259,132.158
1321,1321,1000,3.3,,39.6,0.00245138,131.971
827,827,2500,8.4,,39.6,0.00566229,127.465
900,900,5000,15.4,,55.5,0.0271925,117.11
612,612,250,7.2,,39.6,0.00909175,127.488
1153,1153,800,17.4,,71.3,0.016104,124.276
648,648,400,9.9,,55.5,0.0208438,131.605
951,951,400,19.7,,39.6,0.036484,130.614
1492,1492,630,15.6,,39.6,0.0528487,118.084
1081,1081,200,9.5,,39.6,0.00449821,116.074
366,366,1600,5.3,,71.3,0.0051942,130.46
633,633,500,9.9,,71.3,0.0193001,131.279
94,94,8000,1.5,,39.6,0.00392107,112.251
716,716,1000,12.6,,39.6,0.0584113,114.67
216,216,400,0,,39.6,0.00253511,123.565
670,670,1600,9.9,,39.6,0.0233328,118.545
667,667,800,9.9,,39.6,0.0233328,126.345
1107,1107,2000,9.5,,31.7,0.00461377,130.496
825,825,1600,8.4,,39.6,0.00566229,130.965
1261,1261,3150,0,,55.5,0.00131983,131.78
1405,1405,3150,8.9,,39.6,0.0124596,119.35
13,13,16000,0,,71.3,0.00266337,108.721
1141,1141,3150,12.7,,39.6,0.0130253,127.847
1289,1289,4000,0,,31.7,0.00150092,126.933
12,12,12500,0,,71.3,0.00266337,112.241
645,645,200,9.9,,55.5,0.0208438,131.955
435,435,4000,7.3,,39.6,0.0123481,114.079
1443,1443,315,12.3,,39.6,0.0408268,129.415
1217,1217,1600,22.2,,71.3,0.0214178,131.817
101,101,1000,3,,71.3,0.00425727,129.004
245,245,630,2,,71.3,0.00293031,127.356
1149,1149,315,17.4,,71.3,0.016104,115.846
1257,1257,1250,0,,55.5,0.00131983,131.43
1387,1387,2000,8.9,,71.3,0.0103088,124.233
52,52,500,0,,31.7,0.00331266,127.315
454,454,800,0,,71.3,0.0015988,125.817
1011,1011,5000,4.8,,71.3,0.000848633,135.468
1036,1036,2000,4.8,,39.6,0.000907475,128.916
704,704,2500,12.6,,71.3,0.0483159,115.234
240,240,4000,0,,31.7,0.0027238,122.035
351,351,1000,4,,31.7,0.00509068,129.869
80,80,315,1.5,,39.6,0.00392107,121.851
932,932,5000,15.4,,31.7,0.0289853,112.355
859,859,500,11.2,,39.6,0.0150478,131.96
895,895,1600,15.4,,55.5,0.0271925,128.2
797,797,10000,4.2,,39.6,0.00152689,116.967
23,23,4000,0,,55.5,0.00283081,121.106
1,1,1000,0,,71.3,0.00266337,125.201
93,93,6300,1.5,,39.6,0.00392107,114.751
455,455,1000,0,,71.3,0.0015988,127.307
1043,1043,10000,4.8,,39.6,0.000907475,126.066
708,708,6300,12.6,,71.3,0.0483159,107.284
499,499,630,0,,31.7,0.00209405,125.997
1188,1188,1250,17.4,,39.6,0.0172206,131.364
757,757,3150,0,,39.6,0.000791822,135.938
677,677,200,9.9,,31.7,0.0252785,127.299
555,555,500,5.4,,55.5,0.00433288,129.367
381,381,1000,5.3,,39.6,0.00614329,125.581
107,107,4000,3,,71.3,0.00425727,120.264
213,213,5000,0,,55.5,0.00229336,122.41
788,788,1250,4.2,,39.6,0.00152689,128.427
91,91,4000,1.5,,39.6,0.00392107,117.741
131,131,800,3,,39.6,0.00495741,129.552
70,70,2000,1.5,,71.3,0.00336729,126.642
1003,1003,8000,0,,31.7,0.000439472,137.207
933,933,6300,15.4,,31.7,0.0289853,108.185
863,863,1250,11.2,,39.6,0.0150478,130.05
169,169,5000,4,,71.3,0.00497773,117.785
1427,1427,315,12.3,,55.5,0.0368233,135.674
314,314,16000,4,,71.3,0.00400603,112.768
1031,1031,630,4.8,,39.6,0.000907475,118.696
1441,1441,200,12.3,,39.6,0.0408268,128.545
1072,1072,1000,9.5,,55.5,0.0043284,130.332
955,955,1000,19.7,,39.6,0.036484,118.904
78,78,12500,1.5,,71.3,0.00336729,109.222
508,508,5000,0,,31.7,0.00209405,122.397
690,690,4000,9.9,,31.7,0.0252785,111.459
1066,1066,5000,9.5,,71.3,0.00420654,131.186
150,150,2000,3,,31.7,0.00529514,120.088
981,981,16000,0,,55.5,0.00041229,125.683
1171,1171,1000,17.4,,55.5,0.0165706,126.001
783,783,6300,4.2,,71.3,0.00142788,129.308
88,88,2000,1.5,,39.6,0.00392107,122.101
969,969,12500,0,,71.3,0.000400682,133.207
480,480,8000,0,,55.5,0.00172668,121.903
658,658,4000,9.9,,55.5,0.0208438,112.945
660,660,6300,9.9,,55.5,0.0208438,110.555
31,31,315,0,,39.6,0.00310138,122.779
536,536,5000,2.7,,39.6,0.00294804,121.499
679,679,315,9.9,,31.7,0.0252785,128.809
563,563,3150,5.4,,55.5,0.00433288,121.587
1049,1049,1600,4.8,,31.7,0.000930789,128.718
120,120,2500,3,,55.5,0.00452492,122.439
774,774,8000,0,,31.7,0.000812164,126.59
979,979,10000,0,,55.5,0.00041229,134.563
662,662,250,9.9,,39.6,0.0233328,128.335
378,378,500,5.3,,39.6,0.00614329,132.251
1260,1260,2500,0,,55.5,0.00131983,133.04
1345,1345,800,6.7,,71.3,0.00478288,134.478
792,792,3150,4.2,,39.6,0.00152689,133.587
488,488,1250,0,,39.6,0.00193287,131.023
927,927,1600,15.4,,31.7,0.0289853,121.485
1227,1227,315,22.2,,39.6,0.0229028,120.716
1370,1370,500,6.7,,31.7,0.00592927,130.206
1196,1196,250,17.4,,31.7,0.0176631,116.956
1383,1383,800,8.9,,71.3,0.0103088,137.813
390,390,200,7.3,,71.3,0.0104404,138.758
1499,1499,3150,15.6,,39.6,0.0528487,109.254
1449,1449,1250,12.3,,39.6,0.0408268,121.165
742,742,2000,0,,55.5,0.00076193,131.456
225,225,3150,0,,39.6,0.00253511,124.625
299,299,500,4,,71.3,0.00400603,126.758
266,266,2500,2,,55.5,0.00313525,123.862
638,638,1600,9.9,,71.3,0.0193001,121.789
1420,1420,2500,12.3,,71.3,0.0337792,121.318
185,185,3150,4,,39.6,0.00579636,118.743
1095,1095,5000,9.5,,39.6,0.00449821,125.044
1112,1112,6300,9.5,,31.7,0.00461377,120.726
680,680,400,9.9,,31.7,0.0252785,128.939
994,994,1000,0,,31.7,0.000439472,125.127
1462,1462,630,12.3,,31.7,0.0418756,119.287
801,801,1600,8.4,,71.3,0.00529514,133.846
873,873,500,15.4,,71.3,0.0264269,127.285
1041,1041,6300,4.8,,39.6,0.000907475,134.336
485,485,630,0,,39.6,0.00193287,124.403
434,434,3150,7.3,,39.6,0.0123481,114.309
1116,1116,500,12.7,,71.3,0.0121808,126.898
1351,1351,3150,6.7,,71.3,0.00478288,124.458
790,790,2000,4.2,,39.6,0.00152689,132.587
476,476,3150,0,,55.5,0.00172668,127.753
878,878,1600,15.4,,71.3,0.0264269,130.065
630,630,250,9.9,,71.3,0.0193001,135.329
46,46,10000,0,,39.6,0.00310138,112.139
1233,1233,1250,22.2,,39.6,0.0229028,126.446
883,883,5000,15.4,,71.3,0.0264269,119.135
462,462,5000,0,,71.3,0.0015988,126.457
1245,1245,2000,0,,71.3,0.00121072,132.095
1290,1290,5000,0,,31.7,0.00150092,124.393
347,347,400,4,,31.7,0.00509068,126.149
1123,1123,2500,12.7,,71.3,0.0121808,134.058
470,470,800,0,,55.5,0.00172668,126.713
906,906,500,15.4,,39.6,0.0282593,125.963
1291,1291,6300,0,,31.7,0.00150092,124.253
1478,1478,630,15.6,,71.3,0.0437259,122.288
1214,1214,800,22.2,,71.3,0.0214178,123.227
207,207,1250,0,,55.5,0.00229336,127.91
396,396,800,7.3,,71.3,0.0104404,130.748
806,806,5000,8.4,,71.3,0.00529514,121.146
1498,1498,2500,15.6,,39.6,0.0528487,110.264
604,604,2000,7.2,,71.3,0.00752039,128.643
1026,1026,10000,4.8,,55.5,0.000873218,126.944
1342,1342,6300,3.3,,31.7,0.00251435,120.702
553,553,6300,5.4,,71.3,0.00401199,116.411
82,82,500,1.5,,39.6,0.00392107,126.661
808,808,500,8.4,,55.5,0.00544854,123.742
1306,1306,630,3.3,,55.5,0.002211,126.599
817,817,4000,8.4,,55.5,0.00544854,122.612
1469,1469,3150,12.3,,31.7,0.0418756,110.307
354,354,2000,4,,31.7,0.00509068,122.089
866,866,2500,11.2,,39.6,0.0150478,122.17
345,345,250,4,,31.7,0.00509068,120.189
938,938,500,19.7,,71.3,0.0341183,126.995
417,417,2500,7.3,,55.5,0.0111706,118.994
1409,1409,200,12.3,,71.3,0.0337792,130.588
34,34,630,0,,39.6,0.00310138,128.629
286,286,400,2,,31.7,0.00372371,123.417
465,465,10000,0,,71.3,0.0015988,120.247
513,513,1000,2.7,,71.3,0.00243851,128.774
37,37,1250,0,,39.6,0.00310138,125.499
81,81,400,1.5,,39.6,0.00392107,124.001
1142,1142,4000,12.7,,39.6,0.0130253,126.537
284,284,6300,2,,39.6,0.00346574,116.417
35,35,800,0,,39.6,0.00310138,129.099
807,807,400,8.4,,55.5,0.00544854,121.582
1433,1433,1250,12.3,,55.5,0.0368233,124.214
400,400,2000,7.3,,71.3,0.0104404,122.708
622,622,2500,7.2,,39.6,0.00909175,117.478
1369,1369,400,6.7,,31.7,0.00592927,128.296
135,135,2000,3,,39.6,0.00495741,120.532
1403,1403,2000,8.9,,39.6,0.0124596,119.04
581,581,6300,5.4,,39.6,0.00485029,116.677
1331,1331,10000,3.3,,39.6,0.00245138,115.321
735,735,8000,0,,71.3,0.000740478,130.89
686,686,1600,9.9,,31.7,0.0252785,117.119
1108,1108,2500,9.5,,31.7,0.00461377,130.086
899,899,4000,15.4,,55.5,0.0271925,120.92
1166,1166,315,17.4,,55.5,0.0165706,111.911
842,842,250,11.2,,71.3,0.014072,127.101
300,300,630,4,,71.3,0.00400603,129.038
1256,1256,1000,0,,55.5,0.00131983,129.8
652,652,1000,9.9,,55.5,0.0208438,124.665
403,403,4000,7.3,,71.3,0.0104404,119.208
1172,1172,1250,17.4,,55.5,0.0165706,129.301
1494,1494,1000,15.6,,39.6,0.0528487,119.224
1360,1360,400,6.7,,39.6,0.00578076,128.295
360,360,400,5.3,,71.3,0.0051942,127.7
344,344,8000,4,,39.6,0.00473801,113.129
280,280,2500,2,,39.6,0.00346574,121.397
353,353,1600,4,,31.7,0.00509068,125.229
1472,1472,6300,12.3,,31.7,0.0418756,107.267
703,703,2000,12.6,,71.3,0.0483159,117.504
1101,1101,500,9.5,,31.7,0.00461377,126.886
340,340,3150,4,,39.6,0.00473801,120.419
1083,1083,315,9.5,,39.6,0.00449821,119.294
408,408,315,7.3,,55.5,0.0111706,136.284
908,908,800,15.4,,39.6,0.0282593,128.423
1194,1194,5000,17.4,,39.6,0.0172206,119.854
1167,1167,400,17.4,,55.5,0.0165706,115.461
1431,1431,800,12.3,,55.5,0.0368233,125.114
1484,1484,2500,15.6,,71.3,0.0437259,118.998
1296,1296,1250,3.3,,71.3,0.00202822,132.304
888,888,315,15.4,,55.5,0.0271925,125.39
432,432,2000,7.3,,39.6,0.0123481,117.809
696,696,400,12.6,,71.3,0.0483159,127.094
1417,1417,1250,12.3,,71.3,0.0337792,126.648
349,349,630,4,,31.7,0.00509068,130.349
1378,1378,250,8.9,,71.3,0.0103088,134.533
429,429,1000,7.3,,39.6,0.0123481,122.539
307,307,3150,4,,71.3,0.00400603,124.108
1002,1002,6300,0,,31.7,0.000439472,138.537
1349,1349,2000,6.7,,71.3,0.00478288,134.568
1358,1358,2000,6.7,,55.5,0.0052139,129.653
350,350,800,4,,31.7,0.00509068,130.869
51,51,400,0,,31.7,0.00331266,125.045
948,948,200,19.7,,39.6,0.036484,125.974
761,761,8000,0,,39.6,0.000791822,128.518
1338,1338,2500,3.3,,31.7,0.00251435,130.392
363,363,800,5.3,,71.3,0.0051942,133.48
424,424,315,7.3,,39.6,0.0123481,132.149
1164,1164,200,17.4,,55.5,0.0165706,109.951
1133,1133,500,12.7,,39.6,0.0130253,127.127
475,475,2500,0,,55.5,0.00172668,127.763
751,751,800,0,,39.6,0.000791822,126.508
325,325,3150,4,,55.5,0.0042862,122.394
209,209,2000,0,,55.5,0.00229336,126.54
917,917,6300,15.4,,39.6,0.0282593,109.663
1089,1089,1250,9.5,,39.6,0.00449821,130.964
736,736,10000,0,,71.3,0.000740478,128.74
67,67,1000,1.5,,71.3,0.00336729,125.992
1318,1318,10000,3.3,,55.5,0.002211,115.659
1132,1132,400,12.7,,39.6,0.0130253,125.527
958,958,2000,19.7,,39.6,0.036484,117.724
789,789,1600,4.2,,39.6,0.00152689,130.197
361,361,500,5.3,,71.3,0.0051942,129.88
342,342,5000,4,,39.6,0.00473801,117.649
357,357,4000,4,,31.7,0.00509068,118.859
507,507,4000,0,,31.7,0.00209405,123.807
352,352,1250,4,,31.7,0.00509068,128.119
1231,1231,800,22.2,,39.6,0.0229028,137.076
683,683,800,9.9,,31.7,0.0252785,125.539
1230,1230,630,22.2,,39.6,0.0229028,137.026
326,326,4000,4,,55.5,0.0042862,120.654
1038,1038,3150,4.8,,39.6,0.000907475,133.436
85,85,1000,1.5,,39.6,0.00392107,127.581
312,312,10000,4,,71.3,0.00400603,113.108
248,248,1250,2,,71.3,0.00293031,128.816
519,519,4000,2.7,,71.3,0.00243851,126.534
303,303,1250,4,,71.3,0.00400603,131.718
580,580,5000,5.4,,39.6,0.00485029,117.037
756,756,2500,0,,39.6,0.000791822,134.938
311,311,8000,4,,71.3,0.00400603,112.848
629,629,200,9.9,,71.3,0.0193001,134.319
712,712,400,12.6,,39.6,0.0584113,115.91
253,253,4000,2,,71.3,0.00293031,124.086
715,715,800,12.6,,39.6,0.0584113,116.56
1272,1272,1600,0,,39.6,0.00146332,133.261
174,174,250,4,,39.6,0.00579636,123.543
930,930,3150,15.4,,31.7,0.0289853,118.045
809,809,630,8.4,,55.5,0.00544854,126.152
520,520,5000,2.7,,71.3,0.00243851,124.364
724,724,6300,12.6,,39.6,0.0584113,103.38
413,413,1000,7.3,,55.5,0.0111706,125.194
318,318,630,4,,55.5,0.0042862,129.964
501,501,1000,0,,31.7,0.00209405,130.987
309,309,5000,4,,71.3,0.00400603,121.118
227,227,5000,0,,39.6,0.00253511,122.175
211,211,3150,0,,55.5,0.00229336,125.16
1244,1244,1600,0,,71.3,0.00121072,131.725
973,973,2500,0,,55.5,0.00041229,130.073
734,734,6300,0,,71.3,0.000740478,133.04
851,851,2000,11.2,,71.3,0.014072,133.311
940,940,800,19.7,,71.3,0.0341183,124.555
920,920,315,15.4,,31.7,0.0289853,122.845
380,380,800,5.3,,39.6,0.00614329,129.491
534,534,3150,2.7,,39.6,0.00294804,122.919
642,642,4000,9.9,,71.3,0.0193001,115.079
893,893,1000,15.4,,55.5,0.0271925,130.4
44,44,6300,0,,39.6,0.00310138,116.229
575,575,1600,5.4,,39.6,0.00485029,126.267
448,448,2000,7.3,,31.7,0.0132672,115.309
1259,1259,2000,0,,55.5,0.00131983,132.54
427,427,630,7.3,,39.6,0.0123481,128.929
1085,1085,500,9.5,,39.6,0.00449821,123.894
1389,1389,3150,8.9,,71.3,0.0103088,123.263
620,620,1600,7.2,,39.6,0.00909175,120.058
552,552,5000,5.4,,71.3,0.00401199,120.061
1145,1145,8000,12.7,,39.6,0.0130253,120.607
730,730,2500,0,,71.3,0.000740478,131.31
